Order Ticket Number,Order Timestamp,Employee ID,Employee Name,Store ID,Store Name,Order Channel
TCK-000113,2025-01-03 20:05:51,EMP-003,Priya Nair,STORE-01,Main Street Location,Takeout
TCK-000114,2025-01-03 18:50:23,EMP-005,Sam Whitfield,STORE-01,Main Street Location,Dine In
TCK-000115,2025-01-03 21:39:56,EMP-001,Dana Ruiz,STORE-01,Main Street Location,Dine In
TCK-000116,2025-01-03 11:27:32,EMP-001,Dana Ruiz,STORE-01,Main Street Location,Uber Eats
TCK-000117,2025-01-03 16:05:32,EMP-002,Marcus Lee,STORE-01,Main Street Location,Takeout
TCK-000118,2025-01-03 19:41:19,EMP-004,Jordan Blake,STORE-01,Main Street Location,Dine In
TCK-000119,2025-01-03 15:25:08,EMP-003,Priya Nair,STORE-01,Main Street Location,Dine In
TCK-000120,2025-01-03 11:09:06,EMP-001,Dana Ruiz,STORE-01,Main Street Location,Dine In
TCK-000121,2025-01-03 14:05:25,EMP-005,Sam Whitfield,STORE-01,Main Street Location,Dine In
TCK-000122,2025-01-03 11:54:06,EMP-004,Jordan Blake,STORE-01,Main Street Location,Dine In
TCK-000123,2025-01-03 19:52:39,EMP-005,Sam Whitfield,STORE-01,Main Street Location,Dine In
TCK-000124,2025-01-03 15:48:09,EMP-002,Marcus Lee,STORE-01,Main Street Location,Takeout
TCK-000125,2025-01-03 22:10:25,EMP-005,Sam Whitfield,STORE-01,Main Street Location,DoorDash
TCK-000126,2025-01-03 20:37:19,EMP-001,Dana Ruiz,STORE-01,Main Street Location,Takeout
TCK-000127,2025-01-03 17:36:44,EMP-001,Dana Ruiz,STORE-01,Main Street Location,Dine In
TCK-000128,2025-01-03 18:35:20,EMP-004,Jordan Blake,STORE-01,Main Street Location,Dine In
TCK-000129,2025-01-03 19:39:30,EMP-002,Marcus Lee,STORE-01,Main Street Location,Grubhub
TCK-000130,2025-01-03 22:18:07,EMP-005,Sam Whitfield,STORE-01,Main Street Location,Takeout
TCK-000131,2025-01-03 19:59:35,EMP-003,Priya Nair,STORE-01,Main Street Location,Dine In
TCK-000132,2025-01-03 21:26:41,EMP-004,Jordan Blake,STORE-01,Main Street Location,Dine In
TCK-000133,2025-01-03 13:46:54,EMP-001,Dana Ruiz,STORE-01,Main Street Location,Uber Eats
TCK-000134,2025-01-03 13:55:59,EMP-003,Priya Nair,STORE-01,Main Street Location,Uber Eats
TCK-000135,2025-01-03 22:18:29,EMP-005,Sam Whitfield,STORE-01,Main Street Location,Dine In
TCK-000136,2025-01-03 19:45:11,EMP-001,Dana Ruiz,STORE-01,Main Street Location,DoorDash
TCK-000137,2025-01-03 12:59:15,EMP-001,Dana Ruiz,STORE-01,Main Street Location,Dine In
TCK-000138,2025-01-03 12:44:15,EMP-001,Dana Ruiz,STORE-01,Main Street Location,Takeout
TCK-000139,2025-01-03 11:29:47,EMP-005,Sam Whitfield,STORE-01,Main Street Location,Dine In
TCK-000140,2025-01-03 12:54:33,EMP-004,Jordan Blake,STORE-01,Main Street Location,Dine In
TCK-000141,2025-01-03 20:36:03,EMP-005,Sam Whitfield,STORE-01,Main Street Location,Dine In
TCK-000142,2025-01-03 21:59:30,EMP-001,Dana Ruiz,STORE-01,Main Street Location,Dine In
TCK-000143,2025-01-03 22:24:05,EMP-005,Sam Whitfield,STORE-01,Main Street Location,Dine In
TCK-000144,2025-01-03 22:43:46,EMP-005,Sam Whitfield,STORE-01,Main Street Location,Dine In
TCK-000145,2025-01-03 21:15:13,EMP-001,Dana Ruiz,STORE-01,Main Street Location,Dine In
TCK-000146,2025-01-03 18:47:02,EMP-004,Jordan Blake,STORE-01,Main Street Location,Dine In
TCK-000147,2025-01-03 13:33:14,EMP-004,Jordan Blake,STORE-01,Main Street Location,Dine In
TCK-000148,2025-01-03 17:22:41,EMP-004,Jordan Blake,STORE-01,Main Street Location,DoorDash
TCK-000149,2025-01-03 20:58:03,EMP-005,Sam Whitfield,STORE-01,Main Street Location,Dine In
TCK-000150,2025-01-03 17:55:04,EMP-002,Marcus Lee,STORE-01,Main Street Location,DoorDash
TCK-000151,2025-01-03 11:35:20,EMP-003,Priya Nair,STORE-01,Main Street Location,Dine In
TCK-000152,2025-01-03 11:01:16,EMP-005,Sam Whitfield,STORE-01,Main Street Location,Grubhub
TCK-000153,2025-01-03 20:29:10,EMP-003,Priya Nair,STORE-01,Main Street Location,Dine In
TCK-000154,2025-01-03 16:40:42,EMP-005,Sam Whitfield,STORE-01,Main Street Location,Uber Eats
TCK-000155,2025-01-03 18:06:58,EMP-001,Dana Ruiz,STORE-01,Main Street Location,Dine In
TCK-000156,2025-01-03 12:29:36,EMP-002,Marcus Lee,STORE-01,Main Street Location,Grubhub
TCK-000157,2025-01-03 12:24:35,EMP-004,Jordan Blake,STORE-01,Main Street Location,Dine In
TCK-000158,2025-01-03 19:36:54,EMP-001,Dana Ruiz,STORE-01,Main Street Location,Uber Eats
TCK-000159,2025-01-03 20:17:02,EMP-001,Dana Ruiz,STORE-01,Main Street Location,Takeout
TCK-000160,2025-01-03 22:10:36,EMP-002,Marcus Lee,STORE-01,Main Street Location,Takeout
TCK-000161,2025-01-03 15:01:40,EMP-003,Priya Nair,STORE-01,Main Street Location,DoorDash
TCK-000162,2025-01-03 17:17:09,EMP-004,Jordan Blake,STORE-01,Main Street Location,DoorDash
TCK-000163,2025-01-03 19:06:08,EMP-001,Dana Ruiz,STORE-01,Main Street Location,Dine In
TCK-000164,2025-01-03 14:46:57,EMP-005,Sam Whitfield,STORE-01,Main Street Location,Uber Eats
TCK-000165,2025-01-04 11:04:10,EMP-004,Jordan Blake,STORE-01,Main Street Location,Dine In
TCK-000166,2025-01-04 18:19:00,EMP-004,Jordan Blake,STORE-01,Main Street Location,Dine In
TCK-000167,2025-01-04 18:20:24,EMP-003,Priya Nair,STORE-01,Main Street Location,DoorDash
TCK-000168,2025-01-04 13:04:52,EMP-004,Jordan Blake,STORE-01,Main Street Location,Takeout
TCK-000169,2025-01-04 15:38:30,EMP-005,Sam Whitfield,STORE-01,Main Street Location,Dine In
TCK-000170,2025-01-04 15:50:27,EMP-001,Dana Ruiz,STORE-01,Main Street Location,Dine In
TCK-000171,2025-01-04 18:22:01,EMP-004,Jordan Blake,STORE-01,Main Street Location,Dine In
TCK-000172,2025-01-04 17:19:02,EMP-001,Dana Ruiz,STORE-01,Main Street Location,Dine In
TCK-000173,2025-01-04 12:40:11,EMP-002,Marcus Lee,STORE-01,Main Street Location,Takeout
TCK-000174,2025-01-04 11:51:55,EMP-005,Sam Whitfield,STORE-01,Main Street Location,Dine In
TCK-000175,2025-01-04 15:37:07,EMP-003,Priya Nair,STORE-01,Main Street Location,Dine In
TCK-000176,2025-01-04 20:27:11,EMP-004,Jordan Blake,STORE-01,Main Street Location,Takeout
TCK-000177,2025-01-04 19:00:31,EMP-002,Marcus Lee,STORE-01,Main Street Location,Dine In
TCK-000178,2025-01-04 13:18:10,EMP-004,Jordan Blake,STORE-01,Main Street Location,Takeout
TCK-000179,2025-01-04 18:19:55,EMP-001,Dana Ruiz,STORE-01,Main Street Location,Dine In
TCK-000180,2025-01-04 20:10:39,EMP-002,Marcus Lee,STORE-01,Main Street Location,DoorDash
TCK-000181,2025-01-04 22:18:36,EMP-003,Priya Nair,STORE-01,Main Street Location,Grubhub
TCK-000182,2025-01-04 13:17:40,EMP-004,Jordan Blake,STORE-01,Main Street Location,Dine In
TCK-000183,2025-01-04 12:29:31,EMP-003,Priya Nair,STORE-01,Main Street Location,Takeout
TCK-000184,2025-01-04 14:50:34,EMP-004,Jordan Blake,STORE-01,Main Street Location,Dine In
TCK-000185,2025-01-04 13:50:53,EMP-004,Jordan Blake,STORE-01,Main Street Location,Dine In
TCK-000186,2025-01-04 18:56:41,EMP-003,Priya Nair,STORE-01,Main Street Location,Dine In
TCK-000187,2025-01-04 18:27:41,EMP-001,Dana Ruiz,STORE-01,Main Street Location,DoorDash
TCK-000188,2025-01-04 20:00:00,EMP-003,Priya Nair,STORE-01,Main Street Location,DoorDash
TCK-000189,2025-01-04 17:33:36,EMP-001,Dana Ruiz,STORE-01,Main Street Location,Takeout
TCK-000190,2025-01-04 20:55:13,EMP-001,Dana Ruiz,STORE-01,Main Street Location,Uber Eats
TCK-000191,2025-01-04 13:05:15,EMP-005,Sam Whitfield,STORE-01,Main Street Location,Takeout
TCK-000192,2025-01-04 17:33:56,EMP-001,Dana Ruiz,STORE-01,Main Street Location,Grubhub
TCK-000193,2025-01-04 11:59:03,EMP-004,Jordan Blake,STORE-01,Main Street Location,Dine In
TCK-000194,2025-01-04 17:19:44,EMP-004,Jordan Blake,STORE-01,Main Street Location,DoorDash
TCK-000195,2025-01-04 19:42:47,EMP-002,Marcus Lee,STORE-01,Main Street Location,Dine In
TCK-000196,2025-01-04 19:10:23,EMP-002,Marcus Lee,STORE-01,Main Street Location,DoorDash
TCK-000197,2025-01-04 19:03:31,EMP-005,Sam Whitfield,STORE-01,Main Street Location,Dine In
TCK-000198,2025-01-04 17:54:55,EMP-001,Dana Ruiz,STORE-01,Main Street Location,Dine In
TCK-000199,2025-01-04 19:52:04,EMP-005,Sam Whitfield,STORE-01,Main Street Location,Dine In
TCK-000200,2025-01-04 19:47:39,EMP-002,Marcus Lee,STORE-01,Main Street Location,Dine In
TCK-000201,2025-01-04 17:13:33,EMP-002,Marcus Lee,STORE-01,Main Street Location,Dine In
TCK-000202,2025-01-04 11:57:54,EMP-005,Sam Whitfield,STORE-01,Main Street Location,Dine In
TCK-000203,2025-01-04 12:16:54,EMP-003,Priya Nair,STORE-01,Main Street Location,Grubhub
TCK-000204,2025-01-04 12:49:13,EMP-004,Jordan Blake,STORE-01,Main Street Location,Dine In
TCK-000205,2025-01-04 18:05:45,EMP-002,Marcus Lee,STORE-01,Main Street Location,Grubhub
TCK-000206,2025-01-04 17:00:03,EMP-002,Marcus Lee,STORE-01,Main Street Location,Dine In
TCK-000207,2025-01-04 19:07:02,EMP-004,Jordan Blake,STORE-01,Main Street Location,Dine In
TCK-000208,2025-01-04 19:31:26,EMP-005,Sam Whitfield,STORE-01,Main Street Location,Dine In
TCK-000209,2025-01-04 13:15:40,EMP-005,Sam Whitfield,STORE-01,Main Street Location,DoorDash
TCK-000210,2025-01-04 12:33:22,EMP-005,Sam Whitfield,STORE-01,Main Street Location,Grubhub
TCK-000211,2025-01-04 21:48:14,EMP-005,Sam Whitfield,STORE-01,Main Street Location,Uber Eats
TCK-000212,2025-01-04 20:34:19,EMP-002,Marcus Lee,STORE-01,Main Street Location,Dine In
TCK-000213,2025-01-04 12:00:21,EMP-005,Sam Whitfield,STORE-01,Main Street Location,Dine In
TCK-000214,2025-01-04 19:04:23,EMP-004,Jordan Blake,STORE-01,Main Street Location,Takeout
TCK-000215,2025-01-04 13:44:56,EMP-005,Sam Whitfield,STORE-01,Main Street Location,DoorDash
TCK-000216,2025-01-04 20:54:49,EMP-005,Sam Whitfield,STORE-01,Main Street Location,Dine In
TCK-000217,2025-01-04 20:00:16,EMP-002,Marcus Lee,STORE-01,Main Street Location,Dine In
TCK-000218,2025-01-04 17:24:28,EMP-004,Jordan Blake,STORE-01,Main Street Location,Grubhub
TCK-000219,2025-01-04 12:16:06,EMP-001,Dana Ruiz,STORE-01,Main Street Location,Dine In
TCK-000220,2025-01-04 17:06:21,EMP-002,Marcus Lee,STORE-01,Main Street Location,Grubhub
TCK-000221,2025-01-04 17:01:13,EMP-002,Marcus Lee,STORE-01,Main Street Location,Takeout
TCK-000222,2025-01-04 15:57:42,EMP-003,Priya Nair,STORE-01,Main Street Location,Dine In
TCK-000223,2025-01-04 20:48:37,EMP-002,Marcus Lee,STORE-01,Main Street Location,Takeout
TCK-000224,2025-01-04 18:07:48,EMP-004,Jordan Blake,STORE-01,Main Street Location,Dine In
TCK-000225,2025-01-04 21:53:38,EMP-003,Priya Nair,STORE-01,Main Street Location,Dine In
TCK-000226,2025-01-04 19:33:29,EMP-001,Dana Ruiz,STORE-01,Main Street Location,DoorDash
TCK-000227,2025-01-04 13:31:36,EMP-005,Sam Whitfield,STORE-01,Main Street Location,Dine In
TCK-000228,2025-01-04 12:44:15,EMP-001,Dana Ruiz,STORE-01,Main Street Location,DoorDash
TCK-000229,2025-01-04 13:28:49,EMP-003,Priya Nair,STORE-01,Main Street Location,Dine In
TCK-000230,2025-01-04 17:11:12,EMP-002,Marcus Lee,STORE-01,Main Street Location,Uber Eats
TCK-000231,2025-01-04 15:32:25,EMP-001,Dana Ruiz,STORE-01,Main Street Location,Takeout
TCK-000232,2025-01-04 14:53:57,EMP-003,Priya Nair,STORE-01,Main Street Location,DoorDash
TCK-000233,2025-01-04 13:49:13,EMP-002,Marcus Lee,STORE-01,Main Street Location,Takeout
TCK-000234,2025-01-04 17:14:16,EMP-005,Sam Whitfield,STORE-01,Main Street Location,DoorDash
TCK-000235,2025-01-04 17:00:32,EMP-003,Priya Nair,STORE-01,Main Street Location,Takeout
TCK-000236,2025-01-04 11:57:03,EMP-005,Sam Whitfield,STORE-01,Main Street Location,Dine In
TCK-000237,2025-01-04 18:21:46,EMP-002,Marcus Lee,STORE-01,Main Street Location,Takeout
TCK-000238,2025-01-04 18:43:57,EMP-003,Priya Nair,STORE-01,Main Street Location,Takeout
TCK-000239,2025-01-04 15:37:18,EMP-004,Jordan Blake,STORE-01,Main Street Location,Uber Eats
TCK-000240,2025-01-04 12:36:57,EMP-004,Jordan Blake,STORE-01,Main Street Location,Dine In
TCK-000241,2025-01-04 12:17:13,EMP-002,Marcus Lee,STORE-01,Main Street Location,Takeout
TCK-000242,2025-01-04 20:24:00,EMP-001,Dana Ruiz,STORE-01,Main Street Location,Dine In
TCK-000243,2025-01-04 14:24:32,EMP-005,Sam Whitfield,STORE-01,Main Street Location,Dine In
TCK-000244,2025-01-04 19:27:56,EMP-002,Marcus Lee,STORE-01,Main Street Location,Dine In
TCK-000245,2025-01-04 13:41:50,EMP-001,Dana Ruiz,STORE-01,Main Street Location,Dine In
TCK-000246,2025-01-04 12:30:44,EMP-002,Marcus Lee,STORE-01,Main Street Location,Dine In
TCK-000247,2025-01-04 19:39:38,EMP-002,Marcus Lee,STORE-01,Main Street Location,Dine In
TCK-000248,2025-01-04 11:31:12,EMP-005,Sam Whitfield,STORE-01,Main Street Location,Dine In
TCK-000249,2025-01-04 18:00:00,EMP-001,Dana Ruiz,STORE-01,Main Street Location,Uber Eats
TCK-000250,2025-01-04 12:23:51,EMP-003,Priya Nair,STORE-01,Main Street Location,Dine In
TCK-000251,2025-01-04 19:22:57,EMP-004,Jordan Blake,STORE-01,Main Street Location,Grubhub
TCK-000252,2025-01-04 20:51:26,EMP-002,Marcus Lee,STORE-01,Main Street Location,Dine In
TCK-000253,2025-01-04 20:11:39,EMP-004,Jordan Blake,STORE-01,Main Street Location,DoorDash
TCK-000254,2025-01-04 13:55:21,EMP-005,Sam Whitfield,STORE-01,Main Street Location,Dine In
TCK-000255,2025-01-04 20:55:10,EMP-001,Dana Ruiz,STORE-01,Main Street Location,DoorDash
TCK-000256,2025-01-04 12:51:36,EMP-004,Jordan Blake,STORE-01,Main Street Location,Dine In
TCK-000257,2025-01-04 19:56:32,EMP-005,Sam Whitfield,STORE-01,Main Street Location,Dine In
TCK-000258,2025-01-04 13:14:00,EMP-003,Priya Nair,STORE-01,Main Street Location,Dine In
TCK-000259,2025-01-04 19:39:12,EMP-002,Marcus Lee,STORE-01,Main Street Location,Dine In
TCK-000260,2025-01-04 18:31:00,EMP-005,Sam Whitfield,STORE-01,Main Street Location,DoorDash
TCK-000261,2025-01-04 19:25:21,EMP-003,Priya Nair,STORE-01,Main Street Location,Dine In
TCK-000262,2025-01-04 19:45:47,EMP-005,Sam Whitfield,STORE-01,Main Street Location,Takeout
TCK-000263,2025-01-04 18:32:34,EMP-003,Priya Nair,STORE-01,Main Street Location,DoorDash
TCK-000264,2025-01-04 14:42:03,EMP-002,Marcus Lee,STORE-01,Main Street Location,Dine In
